start_id,end_id
C_course-v1:TsinghuaX+30240184_2X+sp,K_B树_计算机科学技术
C_course-v1:TsinghuaX+30240184+sp,K_B树_计算机科学技术
C_course-v1:SCUT+145055+2018_T2,K_B树_计算机科学技术
C_course-v1:SCUT+145055+sp,K_B树_计算机科学技术
C_course-v1:TsinghuaX+70240183x_1+2019_T1,K_B树_计算机科学技术
C_course-v1:USTC+SE20190403X+sp,K_IP地址_计算机科学技术
C_course-v1:NBCC+NBCC000201+_sp,K_IP地址_计算机科学技术
C_course-v1:USTC+2017011401X+2017_T1,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+THU201605X+2019_T1,K_IP地址_计算机科学技术
C_course-v1:chzu+ZJ1867357+2019_T1,K_IP地址_计算机科学技术
C_course-v1:YIT+2018122509X+2018_T2,K_IP地址_计算机科学技术
C_course-v1:BerkeleyX+CS169_1X+sp,K_IP地址_计算机科学技术
C_course-v1:UESTC+E2216230+2018_T2,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+20740042X+2019_T1,K_IP地址_计算机科学技术
C_course-v1:UST+UST001+sp,K_IP地址_计算机科学技术
C_course-v1:SICT+2017092601+sp,K_IP地址_计算机科学技术
C_course-v1:SCUT+145033+sp,K_IP地址_计算机科学技术
C_course-v1:CUNY+20171211001+sp,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+30240243X+sp,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+20740084X+2019_T1,K_IP地址_计算机科学技术
C_course-v1:USTC+2017011402X+2017_T1,K_IP地址_计算机科学技术
C_course-v1:SCUT+145223+2019_T1,K_IP地址_计算机科学技术
C_course-v1:BIT+BIT2016001+sp,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+THU00001X+2019_T1,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+THU201606X+2019_T1,K_IP地址_计算机科学技术
C_course-v1:UESTC+2017071301X+sp,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+60250131X+2019_T1,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+64100033X+SP,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+THU201605X+sp,K_IP地址_计算机科学技术
C_course-v1:TsinghuaX+30240332+2019_T1,K_IP地址_计算机科学技术
