start_id,end_id
T_John Stix,C_course-v1:McGillX+ATOC185x+2015_T1
T_John Gyakum,C_course-v1:McGillX+ATOC185x+2015_T1
T_研究生院,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
T_研究生院,C_course-v1:TsinghuaX+THESIS2014_1X_tv+_2014_
T_研究生院,C_course-v1:TsinghuaX+THESIS2015X_tv+2015_T1
T_彭林,C_course-v1:TsinghuaX+00690242+sp
T_袁涤非,C_course-v1:HNU+HNU001+sp
T_葛惟昆,C_course-v1:TsinghuaX+00720091X+sp
T_孙葆洁,C_course-v1:TsinghuaX+00720091X+sp
T_赖柳明,C_course-v1:TsinghuaX+00720091X+sp
T_张国刚,C_course-v1:TsinghuaX+00612642X+sp
T_孙晶,C_course-v1:TsinghuaX+00691153X+sp
T_肖鹰,C_course-v1:TsinghuaX+00691153X+sp
T_Matthew Thompson,C_course-v1:UQx+Think101x+sp
T_Emma MacKenzie,C_course-v1:UQx+Think101x+sp
T_Jason Tangen,C_course-v1:UQx+Think101x+sp
T_李曼丽,C_course-v1:TsinghuaX+JWWCD001+2015_T2
T_王振民,C_course-v1:TsinghuaX+70660542X+2015_T2
T_张建伟,C_course-v1:TsinghuaX+70660542X+2015_T2
T_邓海峰,C_course-v1:TsinghuaX+70660542X+2015_T2
T_王晨光,C_course-v1:TsinghuaX+70660542X+2015_T2
T_郑尚元,C_course-v1:TsinghuaX+70660542X+2015_T2
T_崔国斌,C_course-v1:TsinghuaX+70660542X+2015_T2
T_刘晗,C_course-v1:TsinghuaX+70660542X+2015_T2
T_杨国华,C_course-v1:TsinghuaX+70660542X+2015_T2
T_聂鑫,C_course-v1:TsinghuaX+70660542X+2015_T2
T_李旺,C_course-v1:TsinghuaX+70660542X+2015_T2
T_何海波,C_course-v1:TsinghuaX+70660542X+2015_T2
T_章程,C_course-v1:TsinghuaX+70660542X+2015_T2
T_曾攀,C_course-v1:TsinghuaX+70120073X+sp
T_雷丽萍,C_course-v1:TsinghuaX+70120073X+sp
T_李晓明,C_course-v1:PekingX+Peking001x+_
T_钱万正,C_course-v1:UST+UST001+sp
T_沈鑫剡,C_course-v1:UST+UST001+sp
T_魏涛,C_course-v1:UST+UST001+sp
T_宋以胜,C_course-v1:UST+UST001+sp
T_俞海英,C_course-v1:UST+UST001+sp
T_徐海斌,C_course-v1:UST+UST001+sp
T_李兴德,C_course-v1:UST+UST001+sp
T_秦静,C_course-v1:SDUx+00931800X+sp
T_彭林,C_course-v1:TsinghuaX+00690212X+sp
T_帅松林,C_course-v1:TsinghuaX+00680082X+sp
T_钱鹤,C_course-v1:TsinghuaX+30260112X+sp
T_吴华强,C_course-v1:TsinghuaX+30260112X+sp
T_高云峰,C_course-v1:TsinghuaX+00310222X+sp
T_胡海云,C_course-v1:BIT+PHY1701702+sp
T_繆劲松,C_course-v1:BIT+PHY1701702+sp
T_吴晓丽,C_course-v1:BIT+PHY1701702+sp
T_胡海云,C_course-v1:BIT+PHY1701701+sp
T_繆劲松,C_course-v1:BIT+PHY1701701+sp
T_刘小冰,C_course-v1:TsinghuaX+80515522X+sp
T_何春兴,C_course-v1:TsinghuaX+80515522X+sp
T_刘力,C_course-v1:TsinghuaX+80515522X+sp
T_梁伟,C_course-v1:TsinghuaX+80515522X+sp
T_白宏炜,C_course-v1:TsinghuaX+80515522X+sp
T_王刚,C_course-v1:TsinghuaX+80515522X+sp
T_朱荣斌,C_course-v1:TsinghuaX+80515522X+sp
T_周燕珉,C_course-v1:TsinghuaX+80515522X+sp
T_沈拓,C_course-v1:TsinghuaX+80515522X+sp
T_张海涛,C_course-v1:TsinghuaX+80515522X+sp
T_刘爱明,C_course-v1:TsinghuaX+80515522X+sp
T_李星幻,C_course-v1:TsinghuaX+80515522X+sp
T_刘洪玉,C_course-v1:TsinghuaX+80515522X+sp
T_葛亚非,C_course-v1:TsinghuaX+80515522X+sp
T_聂梅生,C_course-v1:TsinghuaX+80515522X+sp
T_孔鹏,C_course-v1:TsinghuaX+80515522X+sp
T_张宇,C_course-v1:TsinghuaX+80515522X+sp
T_赵喆,C_course-v1:TsinghuaX+34000888X+sp
T_王非,C_course-v1:TsinghuaX+34000888X+sp
T_任芳丽,C_course-v1:TsinghuaX+34000888X+sp
T_宋伯根,C_course-v1:TsinghuaX+34000888X+sp
T_晁爽,C_course-v1:TsinghuaX+34000888X+sp
T_裘莹,C_course-v1:TsinghuaX+34000888X+sp
T_黄振宇,C_course-v1:TsinghuaX+34000888X+sp
T_陈为蓬,C_course-v1:TsinghuaX+00690092X+sp
T_王晓朝,C_course-v1:TsinghuaX+00690342X+sp
T_邵洋,C_course-v1:TsinghuaX+20350033X+sp
T_姚可夫,C_course-v1:TsinghuaX+20350033X+sp
T_巩前明,C_course-v1:TsinghuaX+20350033X+sp
T_朱张校,C_course-v1:TsinghuaX+20350033X+sp
T_郑莉,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
T_李超,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
T_徐明星,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
T_郑莉,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
T_李超,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
T_徐明星,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
T_翁贺凯,C_course-v1:TsinghuaX+10610193X+sp
T_李冬梅,C_course-v1:Tsinghuax+30130123X+sp
T_陈志勇,C_course-v1:Tsinghuax+30130123X+sp
T_郭美凤,C_course-v1:Tsinghuax+30130123X+sp
T_王书肖,C_course-v1:TsinghuaX+40050444X+sp
T_郝吉明,C_course-v1:TsinghuaX+40050444X+sp
T_吴烨,C_course-v1:TsinghuaX+40050444X+sp
T_张智,C_course-v1:TsinghuaX+30320174X+sp
T_李玉兰,C_course-v1:TsinghuaX+30320174X+sp
T_杨祎罡,C_course-v1:TsinghuaX+30320174X+sp
T_何建坤,C_course-v1:TsinghuaX+00460032X+sp
T_高风,C_course-v1:TsinghuaX+00460032X+sp
T_罗勇,C_course-v1:TsinghuaX+00460032X+sp
T_秦大河,C_course-v1:TsinghuaX+00460032X+sp
T_贺克斌,C_course-v1:TsinghuaX+00460032X+sp
T_滕飞,C_course-v1:TsinghuaX+00460032X+sp
T_张希良,C_course-v1:TsinghuaX+00460032X+sp
T_杜祥琬,C_course-v1:TsinghuaX+00460032X+sp
T_冯艳全,C_course-v1:BIT+PHY1701601+sp
T_刘兆龙,C_course-v1:BIT+PHY1701601+sp
T_洪小文,C_course-v1:MicrosoftX+Microsoft101+sp
T_郑宇,C_course-v1:MicrosoftX+Microsoft101+sp
T_谢幸,C_course-v1:MicrosoftX+Microsoft101+sp
T_宋睿华,C_course-v1:MicrosoftX+Microsoft101+sp
T_刘世霞,C_course-v1:MicrosoftX+Microsoft101+sp
T_张洪宇,C_course-v1:MicrosoftX+Microsoft101+sp
T_李英兰,C_course-v1:BIT+PHY17016+sp
T_刘兆龙,C_course-v1:BIT+PHY17016+sp
T_马昱春,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
T_于歆杰,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
T_肖星,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
T_王帅国,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
T_赵千川,C_course-v1:TsinghuaX+70250023X_2015_2+sp
T_清华大学自动化系控制课组,C_course-v1:TsinghuaX+70250023X_2015_2+sp
T_安宇,C_course-v1:TsinghuaX+10430484X_2015_2+sp
T_王山鹰,C_course-v1:TsinghuaX+10430484X_2015_2+sp
T_张留碗,C_course-v1:TsinghuaX+10430484X_2015_2+sp
T_陈信义,C_course-v1:TsinghuaX+10430484X_2015_2+sp
T_蒋硕,C_course-v1:TsinghuaX+10430484X_2015_2+sp
T_李岩松,C_course-v1:TsinghuaX+10430484X_2015_2+sp
T_安宇,C_course-v1:TsinghuaX+10430494X_2015_2+sp
T_吴念乐,C_course-v1:TsinghuaX+10430494X_2015_2+sp
T_张留碗,C_course-v1:TsinghuaX+10430494X_2015_2+sp
T_陈信义,C_course-v1:TsinghuaX+10430494X_2015_2+sp
T_蒋硕,C_course-v1:TsinghuaX+10430494X_2015_2+sp
T_李岩松,C_course-v1:TsinghuaX+10430494X_2015_2+sp
T_刘文武,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_刘艳,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_段玉生,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_许其清,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_刘瑛岩,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_王艳丹,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_邢广军,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
T_帅石金,C_course-v1:TsinghuaX+30150153X+sp
T_王志,C_course-v1:TsinghuaX+30150153X+sp
T_扈志明,C_course-v1:TsinghuaX+10421075X_2015_2+sp
T_章纪民,C_course-v1:TsinghuaX+10421084X_2015_2+sp
T_扈志明,C_course-v1:TsinghuaX+10421084X_2015_2+sp
