start_id,end_id
U_252158,C_course-v1:McGillX+ATOC185x+2015_T1
U_8510835,C_course-v1:McGillX+ATOC185x+2015_T1
U_148566,C_course-v1:McGillX+ATOC185x+2015_T1
U_5252862,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_116651,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7049533,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_443073,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_10898004,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_476291,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_172445,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7088181,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7972030,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6511084,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_682439,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6897661,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_740113,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7023935,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_1971133,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7952582,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_473319,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_585452,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_5996954,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6571942,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_28437,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7790381,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_356729,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6202369,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_722159,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_2520952,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_104918,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7010229,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_1040621,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_405,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_8811712,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_1660892,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_646059,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_626559,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_711453,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7126547,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_592515,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_1734716,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_4669856,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_324858,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6857650,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_710197,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_16161,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6411273,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_2492878,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_175545,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_260276,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_150400,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_705444,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_1919633,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_248602,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_1370362,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_8271675,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_53404,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_2735640,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_710372,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_67832,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_139630,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_50552,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_487814,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_569932,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_7147805,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_9415574,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_171081,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_94849,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_246268,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_217184,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
