id,name
P_53e9a335b7602d9702c3f01c,Multidimensional binary search trees used for associative searching
P_53e9a335b7602d9702c3f01c,Multidimensional binary search trees used for associative searching
P_53e99a6eb7602d97022dfedf,Optimum binary search trees
P_53e99a6eb7602d97022dfedf,Optimum binary search trees
P_53e99eb5b7602d970277d0f7,Multidimensional Binary Search Trees in Database Applications
P_53e99eb5b7602d970277d0f7,Multidimensional Binary Search Trees in Database Applications
P_53e9a9b7b7602d9703312210,A note on the height of binary search trees
P_53e9a9b7b7602d9703312210,A note on the height of binary search trees
P_53e9af7ab7602d97039bd422,Binary search trees of bounded balance
P_53e9af7ab7602d97039bd422,Binary search trees of bounded balance
P_53e9af7ab7602d97039bd423,Binary Search Trees of Bounded Balance
P_53e9af7ab7602d97039bd423,Binary Search Trees of Bounded Balance
P_53e99e21b7602d97026e3fad,Concurrent manipulation of binary search trees
P_53e99e21b7602d97026e3fad,Concurrent manipulation of binary search trees
P_53e99f35b7602d9702804c32,Evaluation of piecewise affine control via binary search tree
P_53e99f35b7602d9702804c32,Evaluation of piecewise affine control via binary search tree
P_53e99b7eb7602d9702423ce0,A practical concurrent binary search tree
P_53e9b53cb7602d9704075aef,Self-Organizing Binary Search Trees
P_53e9b2e6b7602d9703d9fdd6,Defining virtual reality: Dimensions deter-mining telepresence
P_53e9984bb7602d970207bd74,Virtual reality technology
P_53e9b9cdb7602d97045c11d9,Communication and Trust in Global Virtual Teams
P_53e9b9cdb7602d97045c11db,Communication and Trust in Global Virtual Teams
P_53e997bab7602d9701fa3177,Virtual time
P_53e9b732b7602d97042cc1b4,Defining virtual reality: dimensions determining telepresence
P_56d85de1dabfae2eee64a53d,Dynamical Models of Market Impact and Algorithms for Order Execution
P_53e9af68b7602d97039aa6fd,OoOJava: software out-of-order execution
P_53e99ceeb7602d97025a64c4,A 600 mhz superscalar risc microprocessor with out-of-order execution
P_53e9adf0b7602d97037f8543,Issue logic for a 600-MHz out-of-order execution microprocessor
