id,name
C_course-v1:McGillX+ATOC185x+2015_T1,自然灾害
C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2015年清华大学研究生学位论文答辩
C_course-v1:TsinghuaX+THESIS2014_1X_tv+_2014_,2014年清华大学研究生学位论文答辩
C_course-v1:TsinghuaX+THESIS2015X_tv+2015_T1,2015年清华大学研究生学位论文答辩
C_course-v1:TsinghuaX+00690242+sp,文物精品与文化中国
C_course-v1:HNU+HNU001+sp,现代礼仪
C_course-v1:TsinghuaX+00720091X+sp,足球运动与科学
C_course-v1:TsinghuaX+00612642X+sp,《资治通鉴》导读
C_course-v1:TsinghuaX+00691153X+sp,不朽的艺术：走进大师与经典
C_course-v1:UQx+Think101x+sp,日常思考的科学
C_course-v1:TsinghuaX+JWWCD001+2015_T2,教＆学微辞典
C_course-v1:TsinghuaX+70660542X+2015_T2,法学高级入门
C_course-v1:TsinghuaX+70120073X+sp,有限元分析及应用
C_course-v1:PekingX+Peking001x+_,慕课问道
C_course-v1:UST+UST001+sp,网络技术与应用
C_course-v1:SDUx+00931800X+sp,线性代数
C_course-v1:TsinghuaX+00690212X+sp,中国古代礼义文明
C_course-v1:TsinghuaX+00680082X+sp,审美的历程
C_course-v1:TsinghuaX+30260112X+sp,微纳加工技术
C_course-v1:TsinghuaX+00310222X+sp,创客培养：趣味力学实验与制作
C_course-v1:BIT+PHY1701702+sp,大学物理——电磁学
C_course-v1:BIT+PHY1701701+sp,大学物理——近代物理
C_course-v1:TsinghuaX+80515522X+sp,中国房地产发展之路
C_course-v1:TsinghuaX+34000888X+sp,走进医学
C_course-v1:TsinghuaX+00690092X+sp,逻辑学概论
C_course-v1:TsinghuaX+00690342X+sp,西方哲学精神探源
C_course-v1:TsinghuaX+20350033X+sp,工程材料
C_course-v1:TsinghuaX+00740043X_2015_T2+sp,C++语言程序设计基础
C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,C++语言程序设计进阶 
C_course-v1:TsinghuaX+10610193X+sp,中国近现代史纲要
C_course-v1:Tsinghuax+30130123X+sp,控制工程基础
C_course-v1:TsinghuaX+40050444X+sp,大气污染控制工程
C_course-v1:TsinghuaX+30320174X+sp,核辐射物理及探测学
C_course-v1:TsinghuaX+00460032X+sp,应对气候变化的中国视角
C_course-v1:BIT+PHY1701601+sp,大学物理——力学与热学
C_course-v1:MicrosoftX+Microsoft101+sp,微软亚洲研究院大数据系列讲座
C_course-v1:BIT+PHY17016+sp,大学物理——振动、波动与光学
C_course-v1:TsinghuaX+MOOC101_2015_2+sp,e时代的大佬师——慕课教师的修炼心法
C_course-v1:TsinghuaX+70250023X_2015_2+sp,线性系统理论
C_course-v1:TsinghuaX+10430484X_2015_2+sp,大学物理1 
C_course-v1:TsinghuaX+10430494X_2015_2+sp,大学物理2 
C_course-v1:TsinghuaX+20220053X_2015_T2+sp,电工技术
C_course-v1:TsinghuaX+30150153X+sp,汽车发动机原理
C_course-v1:TsinghuaX+10421075X_2015_2+sp,微积分B
C_course-v1:TsinghuaX+10421084X_2015_2+sp,微积分B
C_course-v1:TsinghuaX+20330334X_2015_2+sp,理论力学
C_course-v1:TsinghuaX+0350161X_2015_T2+sp,材料学概论
C_course-v1:TsinghuaX+10421102x_2015_T2+sp,线性代数
C_course-v1:TsinghuaX+20430064X+sp,量子力学
C_course-v1:TsinghuaX+20250103X+sp,数字电子技术基础
C_course-v1:TsinghuaX+60240202X+sp,大数据平台核心技术
C_course-v1:TsinghuaX+10421094X_2015_2+sp,线性代数
C_course-v1:TsinghuaX+80150193X+sp,汽车碰撞安全基础
C_course-v1:TsinghuaX+30670043X+sp,传播学原理
C_course-v1:TsinghuaX+30150303X+sp,汽车造型设计二维表达
C_course-v1:AdelaideX+Wine101x+sp,葡萄酒的世界：从葡萄到美酒
C_course-v1:WellesleyX+HIST229x+sp,亚历山大大帝伟大吗？
C_course-v1:MITx+6_00_1x+sp,计算机科学和Python编程导论
C_course-v1:MITx+15_390_2x+sp,创业102：你能为客户做什么？
C_course-v1:WUT+WUT2016003+2016_T2,设计学原理
C_course-v1:TsinghuaX+THESIS2016X_tv+2016_T1,2016年清华大学研究生学位论文答辩
C_course-v1:TsinghuaX+30140393X+sp,燃烧理论
C_course-v1:TsinghuaX+30240184+sp,数据结构
C_course-v1:TsinghuaX+70167012X+sp,设计的人因与文化
C_course-v1:BJUT+2140074001x+sp,高级数据库系统
C_course-v1:TsinghuaX+30240184_2X+sp,数据结构
C_course-v1:TsinghuaX+30240243X+sp,操作系统
C_course-v1:TsinghuaX+80000822X+sp,适老居住空间与环境设计
C_course-v1:BSU+BSU001+sp,走近冬奥会
C_course-v1:TsinghuaX+40050455X+sp,水处理工程-生化技术
C_course-v1:MITx+6_002x+sp,电路与电子学 
C_course-v1:TsinghuaX+60240013X+sp,组合数学
C_course-v1:TsinghuaX+00740113_2X+sp,VC++面向对象与可视化程序设计：MFC编程基础 
C_course-v1:UC_BerkeleyX+CS_184_1x+sp,计算机图形学导论
C_course-v1:TsinghuaX+TsinghuaMandarin01+sp,对外汉语
C_course-v1:TsinghuaX+80590952X+sp,公共危机管理
C_course-v1:TsinghuaX+00740113_1X+sp,VC++面向对象与可视化程序设计：Windows编程基础 
C_course-v1:UQx+BIOIMG101x+sp,生物医学成像学导论
C_course-v1:UQx+TROPIC101x+sp,热带海岸线生态系统
C_course-v1:TsinghuaX+20120143X+sp,工程制图 
C_course-v1:TsinghuaX+70150023X+sp,汽车理论 
C_course-v1:RiceX+AdvENVSCI_1x+sp,AP*备考——环境科学，第一部分：生物界
C_course-v1:TsinghuaX+34100325_X+sp,软件工程
C_course-v1:TsinghuaX+40050455_2X+sp,水处理工程-物化技术
C_course-v1:RiceX+BIOC372_1x+sp,免疫学基础——第Ⅰ部分
C_course-v1:RiceX+BIOC372_2x+sp,免疫学基础——第Ⅱ部分
C_course-v1:RiceX+AdvBIO_1x+sp,AP*备考——生物学，第一部分：细胞
C_course-v1:RiceX+AdvBIO_2x+sp,AP*备考——生物学，第二部分：遗传学
C_course-v1:TsinghuaX+30040323X+sp,水力学
C_course-v1:RiceX+AdvBIO_3x+sp,AP*备考——生物学，第三部分：演化和多样性
C_course-v1:edX+BlendedX+sp,混合式学习
